original_image_id,coco_image_id,jpeg_quality,decoder_backend,mae,rmse,psnr_db,psnr_is_infinite,ssim,max_absolute_error,p95_absolute_error,p99_absolute_error,percentile_method,jpg_file_size_bytes,pre_jpeg_uint8_bytes,compression_ratio,jpg_bytes_per_pixel,ssim_win_size_whole_image,skimage_version,output_jpg_sha256,decoded_jpg_uint8_sha256
0d0e4dbe84356f8ec4a4ff7616b4850f,259,100,pillow:pillow,0.0918501953125,0.3030686158900324,58.49998429745829,False,0.998828348250462,2.0,1.0,1.0,linear,2314934,5120000,2.211726122645397,0.452135546875,,0.23.2,6419ca6e45ddacb34f1e854db99dc9230d1756bdc7d4325604eefd6d7fb63b43,b915fa4103356da55f77ab5eaddb19337c61d261d455c252cffb3d97ac3ecae1
b8322e1a06179954c5b5f5ed05083c05,3562,95,pillow:pillow,1.2657739554950045,1.6869707263635696,43.58865267994429,False,0.9725457346594856,10.0,3.0,4.0,linear,2703016,8808000,3.2585822651438243,0.3068819255222525,,0.23.2,7f93797268bd962a9718fc6c45de3b4cfee43f9d19562b6419938b3c3f873d40,72420ef8a2e59c52553040aa90e98833e32dd52adc08b98922e4181312827e47
b8322e1a06179954c5b5f5ed05083c05,3562,100,pillow:pillow,0.09035524523160762,0.30059338077064246,58.57121534955854,False,0.9991159834250373,2.0,1.0,1.0,linear,4966864,8808000,1.7733523607652635,0.5639037238873751,,0.23.2,498414fc09212fc2f9f1c364a6fae79ddeaaadd8b94469cfb3112656d040a51e,6b3ce3cef5957b9b59df35023a3235cf40886b69afd1680d33a93cc50733b5bb
18ee5156937f823acee35e15110c6521,476,95,pillow:pillow,1.0175848312033922,1.4298897202055345,45.02475273004997,False,0.9776665361698124,9.0,3.0,4.0,linear,1406856,5705713,4.055648197114701,0.24656971004324962,,0.23.2,2acc89f967a00eb307035f12757b3f1e73accef3d7e2373cf50d2be3ac333a58,7c82e869c42faf32621e5c97d9b63c4d81a893d17c267f25f0a951665793ae9e
18ee5156937f823acee35e15110c6521,476,100,pillow:pillow,0.09000400125277945,0.30000783707182516,58.58815161077974,False,0.998950703046216,2.0,1.0,1.0,linear,2805426,5705713,2.0338134030268487,0.49168719141674316,,0.23.2,d0f30d27aad9ccc46853aafaaee2a36160548a0745876579c233dcb429793008,e2a332752fa9f4851176e59f79f56ca2f26209e310bc0664e1815619c3931533
2d6d1b01427ec2acbdbc2149559585fa,875,95,pydicom_native,0.948290994278763,1.2903623972475509,45.916569634914666,False,0.9819792995728591,9.0,3.0,3.0,linear,2097624,8417760,4.012997562956945,0.2491902834008097,,0.23.2,678f7f824d0fb0d6cf9eae6d5bdd3cad9d8d226a31ac5fabccd25516ec4b1e88,c0aeb9673d4a3f8967caa20f6134cb31807181c95aea9678014f131974b51c00
2d6d1b01427ec2acbdbc2149559585fa,875,100,pydicom_native,0.09148086901978673,0.30246432931201644,58.51732032619263,False,0.9990188052337678,2.0,1.0,1.0,linear,4204810,8417760,2.0019358781966368,0.4995164984508943,,0.23.2,6156be37f303dfc3905300d706b69955fa3d2499da2197178b7614df59daa63b,c72bb39d7fe2870add6d455ee1da4437e3ef42b8e0a0ddcff3bf1c55d4bbe5a0
2a3cc19a099f06f80007cceb75d43bf0,807,95,pydicom_native,1.3377607334324457,1.7631042408207578,43.20524380767369,False,0.9761557392993474,12.0,3.0,5.0,linear,2822043,7990920,2.8316081647232165,0.35315620729528013,,0.23.2,c9e41cd6474cb99cf7b42fe3f4b60ea77aa677a5f0871f8521d045d49248c232,bead18e7946899c3fff3cacfa0fa6624e4f0398da22a77dbec524d247112d8f0
2a3cc19a099f06f80007cceb75d43bf0,807,100,pydicom_native,0.09140461924284063,0.30233445213418064,58.521050819325666,False,0.9992836006202651,2.0,1.0,1.0,linear,4979935,7990920,1.6046233535176664,0.6231992060989223,,0.23.2,54619dc1a93ad14fad06262d5f8ea094d80ec36484d941127590b07bf62dc5d5,2d5161f3b9dfb797c99e60ac5e5ef3ff087435ac6718c0aa0a35ff50a0283209
7c42de6dd248ce53880debab2567b521,2372,95,pydicom_native,1.1947653713797317,1.6034176229428505,44.02987055750716,False,0.9775161510769804,10.0,3.0,4.0,linear,2652765,8536384,3.21791941615635,0.3107598018083535,,0.23.2,866d0aff53cbf65c346031630cb6433880cdac05a264214f9c4a08f9502f6c58,72964eac2bdd995844856f50e322706c169e95fc243dbe136ac2d7305d1fe934
