scope,jpeg_quality,metric,annotation_micro_mean,image_macro_mean,class_macro_mean,worst_value,detail
small_lesion_per_class,95,class3_smallest_relative_area,0.032001109182098766,,,1.269477828429341,32899
small_lesion_per_class,95,class4_smallest_relative_area,0.048128687430757815,,,0.530522156152889,35094
small_lesion_per_class,95,class5_smallest_relative_area,0.008936227068117466,,,0.8513829022988506,1785
small_lesion_per_class,95,class6_smallest_relative_area,0.008935418879474485,,,0.912751677852349,15978
small_lesion_per_class,95,class7_smallest_relative_area,0.000995085995085995,,,0.33796296296296297,29455
small_lesion_per_class,95,class8_smallest_relative_area,2.288818359375e-05,,,0.18518518518518517,3713
small_lesion_per_class,95,class9_smallest_relative_area,0.0007597194881889764,,,0.2034412955465587,19016
small_lesion_per_class,95,class10_smallest_relative_area,0.001707421875,,,0.8051933196064973,28643
small_lesion_per_class,95,class11_smallest_relative_area,0.0007290310329861111,,,0.20552325581395348,25783
small_lesion_per_class,95,class12_smallest_relative_area,0.06694096219480178,,,1.3705710048656135,959
small_lesion_per_class,95,class13_smallest_relative_area,0.0005483627319335938,,,0.2371014492753623,2591
rare_class,,class12,96,,,96,canonical_class_image_count_ascending
rare_class,,class1,186,,,186,canonical_class_image_count_ascending
rare_class,,class4,353,,,353,canonical_class_image_count_ascending
rare_class,,class5,386,,,386,canonical_class_image_count_ascending
rare_class,,class2,452,,,452,canonical_class_image_count_ascending
